u1,u2
2*b/5 - 3*c/5,3*b/5 - 2*c/5
-c/3,b/3
2*b/5 - 3*c/5,3*b/5 - 2*c/5
b/5 - 2*c/5,2*b/5 - c/5
2*b/5 - 3*c/5,3*b/5 - 2*c/5
b/5 - 2*c/5,2*b/5 - c/5
2*b/5 - 3*c/5,3*b/5 - 2*c/5
-c/3,b/3
b/4 - c/2,b/2 - c/4
-c/3,b/3
b/4 - c/2,b/2 - c/4
b/5 - 2*c/5,2*b/5 - c/5
b/4 - c/2,b/2 - c/4
b/5 - 2*c/5,2*b/5 - c/5
b/4 - c/2,b/2 - c/4
-c/3,b/3
2*b/5 - 3*c/5,3*b/5 - 2*c/5
-c/3,b/3
2*b/5 - 3*c/5,3*b/5 - 2*c/5
b/5 - 2*c/5,2*b/5 - c/5
2*b/5 - 3*c/5,3*b/5 - 2*c/5
b/5 - 2*c/5,2*b/5 - c/5
2*b/5 - 3*c/5,3*b/5 - 2*c/5
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
b/2 - c/2,b/2 - c/2
